aX,aY,aZ,gX,gY,gZ
-0.551,-0.661,0.757,12.695,-26.489,-2.747
-0.533,-0.598,0.757,7.812,-13.672,-2.258
-0.510,-0.542,0.731,10.986,-6.592,-5.676
-0.491,-0.522,0.687,14.893,-3.479,-9.766
-0.471,-0.534,0.638,17.151,-3.052,-12.512
-0.448,-0.556,0.594,16.724,-5.249,-13.855
-0.438,-0.582,0.561,13.977,-9.094,-14.038
-0.442,-0.604,0.550,9.399,-13.733,-12.878
-0.450,-0.608,0.567,5.249,-17.517,-10.193
-0.452,-0.589,0.608,4.822,-20.081,-7.446
-0.455,-0.563,0.653,8.484,-20.996,-5.310
-0.461,-0.547,0.680,12.390,-20.508,-4.211
-0.465,-0.544,0.686,12.756,-18.494,-3.296
-0.462,-0.540,0.676,11.658,-15.869,-3.174
-0.453,-0.542,0.664,11.719,-14.526,-4.150
-0.444,-0.557,0.665,11.963,-14.526,-5.615
-0.445,-0.573,0.673,9.888,-14.648,-6.836
-0.445,-0.577,0.683,5.920,-14.709,-7.690
-0.443,-0.566,0.693,2.502,-15.259,-8.972
-0.448,-0.550,0.692,0.793,-16.418,-10.925
-0.449,-0.553,0.685,1.465,-17.517,-11.963
-0.455,-0.573,0.697,3.662,-17.883,-10.803
-0.470,-0.584,0.728,5.310,-15.808,-8.118
-0.475,-0.578,0.753,7.812,-11.414,-5.188
-0.468,-0.566,0.765,12.817,-7.080,-3.540
-0.462,-0.558,0.766,17.456,-4.456,-3.418
-0.456,-0.557,0.757,18.555,-2.991,-4.333
-0.446,-0.566,0.736,16.541,-1.709,-5.371
-0.435,-0.579,0.714,14.587,-0.793,-6.042
-0.427,-0.592,0.699,11.902,-0.793,-5.798
-0.420,-0.605,0.694,9.399,-1.892,-4.578
-0.418,-0.607,0.703,8.606,-3.113,-2.502
-0.425,-0.598,0.714,8.484,-3.784,-0.122
-0.433,-0.591,0.717,7.202,-3.906,2.014
-0.432,-0.585,0.714,6.348,-3.723,3.784
-0.425,-0.570,0.714,7.202,-3.967,4.944
-0.421,-0.552,0.720,9.888,-5.249,5.127
-0.419,-0.538,0.729,13.306,-7.080,4.944
-0.422,-0.528,0.741,17.517,-8.850,4.700
-0.434,-0.523,0.750,20.081,-9.033,4.883
-0.441,-0.520,0.754,20.020,-7.019,5.432
-0.442,-0.512,0.757,18.677,-3.784,5.127
-0.441,-0.505,0.759,16.174,-0.305,3.601
-0.435,-0.505,0.754,13.550,2.197,1.648
-0.426,-0.506,0.750,11.292,3.479,-0.061
-0.423,-0.502,0.744,9.155,3.723,-2.014
-0.426,-0.494,0.737,7.446,3.784,-3.784
-0.429,-0.489,0.731,6.409,3.662,-5.432
-0.426,-0.491,0.727,6.470,2.991,-7.080
-0.426,-0.505,0.729,8.362,1.221,-7.935
-0.434,-0.521,0.736,9.521,-0.916,-7.202
-0.437,-0.531,0.744,8.362,-2.136,-5.554
-0.437,-0.535,0.747,7.080,-2.441,-3.967
-0.434,-0.535,0.745,6.226,-2.625,-3.235
-0.428,-0.539,0.739,5.432,-2.930,-2.930
-0.421,-0.548,0.734,4.211,-3.967,-2.625
-0.415,-0.555,0.733,3.235,-5.676,-2.014
-0.415,-0.557,0.736,2.930,-7.080,-1.221
-0.412,-0.550,0.739,2.991,-8.240,-0.061
-0.409,-0.536,0.751,6.104,-10.254,0.610
-0.420,-0.528,0.771,10.864,-12.024,0.549
-0.434,-0.532,0.783,13.000,-11.414,1.282
-0.436,-0.536,0.786,11.719,-9.155,2.319
-0.425,-0.523,0.787,8.728,-6.653,2.075
-0.417,-0.507,0.785,6.653,-3.601,-0.366
-0.418,-0.508,0.774,4.822,-0.671,-3.052
-0.416,-0.519,0.760,2.441,0.916,-4.150
-0.412,-0.529,0.746,0.366,0.549,-3.601
-0.408,-0.531,0.738,0.916,-1.221,-2.075
-0.405,-0.529,0.733,3.235,-3.418,-0.366
-0.404,-0.527,0.736,5.676,-5.676,1.465
-0.403,-0.524,0.747,7.324,-7.385,2.747
-0.400,-0.518,0.758,8.240,-8.179,3.113
-0.400,-0.512,0.770,8.301,-8.301,2.319
-0.406,-0.509,0.781,7.446,-7.690,0.916
-0.411,-0.513,0.788,5.737,-5.737,-0.366
-0.412,-0.519,0.786,3.601,-3.174,-1.282
-0.410,-0.521,0.781,1.343,-1.282,-1.648
-0.407,-0.519,0.779,0.610,0.122,-1.953

-0.097,0.891,1.476,103.455,318.542,-55.420
0.024,0.683,1.345,149.414,349.731,-111.084
0.222,0.399,1.115,184.570,378.296,-143.250
0.397,0.174,0.830,212.646,391.785,-165.894
0.539,0.102,0.579,232.727,379.700,-194.946
0.636,0.110,0.387,247.742,340.210,-238.953
0.683,0.001,0.202,253.601,283.264,-290.344
0.658,-0.249,-0.058,240.479,221.008,-334.351
0.541,-0.547,-0.399,185.974,160.522,-361.450
0.401,-0.789,-0.789,104.004,97.046,-372.437
0.373,-0.938,-1.090,25.208,21.606,-374.084
0.490,-1.071,-1.171,-23.132,-72.144,-369.934
0.629,-1.270,-1.104,-36.255,-184.631,-357.483
0.721,-1.546,-0.984,-27.893,-305.969,-325.195
0.832,-1.826,-0.761,-4.944,-424.927,-266.541
1.050,-2.028,-0.369,33.142,-539.917,-186.951
1.347,-2.098,0.128,78.979,-646.667,-99.487
1.602,-2.063,0.670,122.864,-728.638,-19.043
1.673,-2.134,1.240,142.212,-770.020,47.852
1.247,-2.381,1.874,132.324,-759.155,117.798
0.632,-2.389,2.569,95.276,-675.232,208.191
0.183,-2.170,3.143,43.457,-530.212,284.180
-0.247,-1.979,3.484,29.785,-357.544,343.140
-0.428,-1.734,3.440,39.917,-177.368,412.170
-0.202,-1.448,2.985,31.311,-20.203,460.693
0.148,-1.136,2.436,-22.034,96.863,463.257
0.396,-0.750,2.235,-67.810,165.588,412.659
0.452,-0.328,2.320,-108.521,213.989,325.317
0.286,-0.059,2.315,-131.958,264.954,249.146
0.139,0.063,2.223,-108.093,311.157,200.439
0.136,0.119,2.067,-62.683,344.971,168.213
0.203,0.126,1.832,-9.766,364.746,139.709
0.306,0.164,1.533,34.058,366.760,103.943
0.370,0.205,1.207,57.251,348.083,56.946
0.346,0.183,0.903,67.993,315.186,8.423
0.264,0.108,0.660,75.562,277.405,-30.090
0.174,0.011,0.502,87.646,240.173,-56.274
0.089,-0.102,0.402,104.370,202.332,-71.716
0.011,-0.232,0.330,120.178,164.124,-78.125
-0.042,-0.360,0.274,128.357,127.502,-79.651
-0.083,-0.471,0.234,124.573,92.590,-79.468
-0.122,-0.546,0.215,112.610,60.242,-78.796
-0.165,-0.594,0.234,97.412,31.067,-79.407
-0.212,-0.640,0.291,80.994,7.141,-80.139
-0.251,-0.677,0.354,60.669,-8.911,-78.613
-0.280,-0.699,0.417,42.114,-18.494,-75.317
-0.314,-0.715,0.477,29.541,-24.109,-70.679
-0.348,-0.732,0.517,18.860,-25.940,-63.965
-0.368,-0.753,0.541,11.658,-25.574,-55.115
-0.380,-0.776,0.577,10.254,-24.536,-44.312
-0.386,-0.782,0.612,11.841,-21.851,-31.860
-0.384,-0.759,0.626,16.785,-19.165,-19.287
-0.382,-0.719,0.625,25.269,-19.470,-9.338
-0.382,-0.681,0.607,31.128,-21.851,-2.563
-0.370,-0.656,0.584,32.166,-23.499,2.075
-0.351,-0.635,0.573,31.799,-24.902,4.639
-0.341,-0.618,0.573,29.968,-26.855,5.310
-0.343,-0.609,0.591,27.283,-29.541,5.066
-0.360,-0.599,0.633,25.574,-31.250,4.761
-0.377,-0.585,0.680,21.729,-29.907,4.700
-0.377,-0.567,0.708,17.090,-25.940,4.395
-0.365,-0.537,0.716,15.198,-22.095,2.869
-0.354,-0.509,0.709,15.564,-19.409,-1.282
-0.352,-0.501,0.689,13.367,-16.907,-5.981
-0.350,-0.511,0.664,10.803,-15.625,-9.033
-0.342,-0.525,0.653,10.559,-16.113,-10.010
-0.344,-0.540,0.661,10.437,-18.555,-9.583
-0.359,-0.555,0.679,8.667,-20.752,-7.812
-0.375,-0.563,0.703,5.737,-20.203,-5.188
-0.379,-0.557,0.730,3.906,-17.334,-2.625
-0.372,-0.535,0.755,4.028,-14.709,-1.770
-0.360,-0.516,0.766,6.714,-13.855,-2.808
-0.354,-0.513,0.769,12.207,-14.221,-5.188
-0.363,-0.530,0.766,16.174,-14.160,-6.958
-0.377,-0.547,0.767,17.395,-12.573,-7.324
-0.380,-0.560,0.773,14.771,-9.338,-7.202
-0.377,-0.570,0.779,12.390,-6.592,-7.080
-0.374,-0.575,0.792,12.573,-5.371,-6.958
-0.368,-0.586,0.801,10.620,-4.150,-6.958
-0.363,-0.601,0.792,7.996,-2.563,-6.836
-0.352,-0.603,0.783,6.104,-1.526,-6.592
-0.341,-0.604,0.786,5.615,-1.404,-7.080
-0.339,-0.619,0.792,5.676,-1.648,-7.690
-0.345,-0.638,0.798,5.310,-1.526,-7.263
-0.356,-0.652,0.801,3.662,0.061,-4.944
-0.359,-0.649,0.794,1.221,2.686,-1.709
-0.356,-0.634,0.781,-0.916,4.639,1.160
-0.347,-0.617,0.762,-2.625,5.371,3.113
-0.333,-0.601,0.743,-2.197,4.822,4.272
-0.323,-0.588,0.731,-0.305,2.502,5.127
-0.323,-0.577,0.733,3.540,-1.038,5.798
-0.329,-0.566,0.750,7.507,-3.784,6.226
-0.340,-0.559,0.764,9.338,-4.761,6.470
-0.346,-0.552,0.768,9.399,-4.578,6.042
-0.347,-0.549,0.768,8.118,-3.662,5.127
-0.350,-0.549,0.769,6.348,-2.136,4.150
-0.351,-0.548,0.773,4.883,-0.366,3.723
-0.354,-0.544,0.779,4.150,0.977,3.418
-0.356,-0.540,0.778,3.540,2.380,3.113
-0.353,-0.534,0.773,4.883,3.174,3.113
-0.347,-0.525,0.768,7.141,2.319,2.747
-0.346,-0.524,0.761,9.094,0.671,1.404
-0.349,-0.532,0.758,9.827,-0.610,0.366
-0.352,-0.544,0.762,9.888,-1.770,0.000
-0.359,-0.548,0.769,9.155,-2.502,0.122
-0.368,-0.549,0.775,7.751,-2.441,0.427
-0.367,-0.550,0.780,6.042,-1.648,0.671
-0.358,-0.550,0.782,4.883,-0.977,0.488
-0.355,-0.554,0.779,3.967,-0.916,0.061
-0.353,-0.562,0.773,3.174,-1.282,0.244
-0.349,-0.562,0.769,2.808,-2.258,0.671
-0.348,-0.560,0.771,2.869,-3.296,0.854
-0.347,-0.559,0.775,2.808,-3.906,1.160
-0.342,-0.549,0.777,2.686,-4.456,1.404
-0.339,-0.544,0.776,3.845,-5.371,0.793
-0.340,-0.552,0.773,4.578,-5.920,0.366
-0.340,-0.561,0.772,4.578,-5.798,1.160
-0.341,-0.557,0.777,4.639,-5.066,2.258
-0.344,-0.549,0.781,4.089,-3.601,2.930

0.698,-1.323,-0.735,8.911,-219.971,-418.701
0.780,-1.627,-0.648,9.460,-302.063,-390.686
0.846,-1.957,-0.541,22.705,-393.616,-340.332
0.897,-2.232,-0.403,47.058,-489.258,-263.611
1.000,-2.334,-0.111,86.975,-577.698,-161.926
1.149,-2.316,0.430,141.724,-647.156,-53.772
1.093,-2.225,1.104,198.425,-681.580,43.030
0.903,-1.965,1.673,218.140,-657.532,114.075
0.738,-1.712,1.984,193.359,-586.426,146.667
0.499,-1.583,2.077,147.095,-499.634,152.344
0.229,-1.547,2.132,91.187,-410.339,145.691
-0.068,-1.592,2.253,42.175,-315.918,147.888
-0.286,-1.594,2.300,8.606,-214.294,176.941
-0.311,-1.557,2.191,-5.005,-124.939,221.558
-0.233,-1.473,2.044,1.404,-54.932,271.973
-0.094,-1.338,1.928,-1.587,5.066,318.604
0.078,-1.208,1.832,-24.475,60.547,349.792
0.197,-1.053,1.787,-53.162,109.802,361.328
0.199,-0.811,1.864,-60.059,150.391,353.333
0.119,-0.509,1.998,-64.941,190.369,332.886
0.017,-0.239,2.100,-65.491,232.483,300.781
-0.037,0.014,2.139,-48.584,278.809,257.385
-0.038,0.216,2.072,-21.790,324.097,198.120
0.012,0.289,1.888,7.751,359.741,135.010
0.134,0.268,1.574,29.846,378.418,78.979
0.248,0.214,1.173,48.157,374.268,29.663
0.283,0.144,0.783,62.805,348.145,-15.076
0.263,0.063,0.459,67.566,307.617,-53.467
0.221,-0.037,0.220,68.665,261.963,-84.229
0.163,-0.132,0.059,74.585,217.163,-106.750
0.102,-0.179,-0.048,87.463,171.631,-122.009
0.054,-0.230,-0.116,104.614,122.498,-133.789
0.019,-0.344,-0.151,117.126,70.618,-142.273
-0.018,-0.487,-0.142,118.958,21.240,-144.836
-0.080,-0.642,-0.065,108.582,-22.095,-141.418
-0.179,-0.793,0.071,89.111,-52.185,-132.019
-0.292,-0.904,0.226,59.753,-65.857,-117.798
-0.367,-0.970,0.363,24.109,-65.491,-103.027
-0.389,-0.987,0.457,-8.606,-56.213,-90.515
-0.377,-0.960,0.498,-30.334,-45.410,-79.651
-0.356,-0.921,0.494,-35.889,-38.879,-69.031
-0.336,-0.897,0.471,-27.222,-37.720,-56.824
-0.325,-0.894,0.466,-8.789,-40.894,-42.175
-0.345,-0.901,0.492,12.878,-44.861,-26.184
-0.390,-0.900,0.536,28.687,-43.335,-9.033
-0.413,-0.873,0.580,35.706,-35.339,6.104
-0.402,-0.820,0.601,36.865,-25.513,15.320
-0.386,-0.762,0.598,33.386,-17.029,18.127
-0.367,-0.711,0.577,26.062,-10.498,16.663
-0.341,-0.669,0.546,19.226,-7.751,12.634
-0.317,-0.635,0.531,17.700,-10.254,6.714
-0.309,-0.617,0.529,18.616,-16.235,-0.488
-0.322,-0.628,0.527,18.372,-22.278,-6.531
-0.341,-0.665,0.534,15.747,-26.062,-9.583
-0.362,-0.702,0.549,10.864,-27.649,-9.338
-0.380,-0.718,0.571,6.653,-26.917,-6.592
-0.382,-0.724,0.597,4.639,-25.269,-3.174
-0.369,-0.725,0.620,4.639,-24.536,-0.122
-0.361,-0.726,0.643,6.958,-24.414,1.648
-0.365,-0.720,0.675,10.193,-23.315,2.686
-0.372,-0.709,0.696,11.902,-20.508,2.014
-0.376,-0.706,0.697,12.085,-16.174,0.122
-0.372,-0.703,0.687,10.132,-11.597,-1.526
-0.368,-0.700,0.667,7.507,-8.179,-3.113
-0.360,-0.702,0.643,5.859,-6.897,-4.150
-0.348,-0.712,0.630,5.798,-8.057,-4.395
-0.345,-0.724,0.629,5.920,-10.132,-4.089
-0.347,-0.734,0.634,4.822,-11.230,-2.747
-0.347,-0.736,0.645,4.089,-11.658,-0.549
-0.347,-0.726,0.659,5.188,-12.207,1.099
-0.346,-0.717,0.677,7.019,-11.841,2.014
-0.346,-0.714,0.691,8.728,-10.193,2.380
-0.347,-0.709,0.700,9.338,-7.812,2.075
-0.337,-0.698,0.702,7.874,-4.822,1.099
-0.328,-0.697,0.695,5.920,-2.197,-0.977
-0.330,-0.708,0.684,4.028,-0.061,-2.930
-0.330,-0.720,0.670,1.343,1.526,-3.174
-0.328,-0.726,0.657,-0.366,1.648,-2.014
-0.324,-0.719,0.645,-0.305,0.732,0.061
-0.319,-0.698,0.634,1.160,-0.793,2.319
-0.312,-0.680,0.631,4.272,-3.479,3.479
-0.310,-0.677,0.634,6.409,-6.104,3.357
-0.314,-0.682,0.636,5.737,-7.385,3.174
-0.313,-0.675,0.637,3.418,-8.484,3.052
-0.304,-0.657,0.644,3.357,-10.620,2.136
-0.310,-0.649,0.656,4.700,-12.207,0.610
-0.325,-0.658,0.666,5.127,-11.841,0.183
-0.331,-0.669,0.673,4.517,-10.376,0.977
-0.328,-0.673,0.677,4.333,-9.766,1.770
-0.325,-0.670,0.678,5.615,-10.132,2.197
-0.323,-0.658,0.679,7.446,-10.437,2.319
-0.318,-0.647,0.680,9.644,-10.620,1.526
-0.314,-0.646,0.685,12.451,-10.742,0.061
-0.321,-0.656,0.689,14.282,-10.132,-1.038
-0.328,-0.670,0.691,14.221,-9.094,-1.099
-0.323,-0.680,0.691,13.245,-8.606,-0.427
-0.321,-0.683,0.695,12.756,-8.728,0.000
-0.329,-0.684,0.703,11.047,-7.812,0.122
-0.332,-0.687,0.707,7.874,-5.981,0.122
-0.324,-0.684,0.712,4.211,-4.089,-0.061
-0.312,-0.676,0.713,1.587,-2.747,-0.977
-0.307,-0.670,0.708,1.343,-2.258,-2.197
-0.308,-0.672,0.701,2.563,-2.136,-2.808
-0.304,-0.678,0.694,3.967,-2.380,-2.258
-0.300,-0.682,0.684,5.615,-3.052,-1.404
-0.297,-0.684,0.675,7.812,-4.150,0.305
-0.293,-0.686,0.667,10.071,-5.432,2.686
-0.288,-0.686,0.658,11.414,-6.714,5.005
-0.278,-0.674,0.654,11.780,-7.874,6.287
-0.269,-0.651,0.661,10.498,-9.399,5.127
-0.274,-0.636,0.678,8.057,-10.315,2.014
-0.289,-0.637,0.698,6.226,-9.827,-0.732
-0.301,-0.641,0.717,4.517,-8.118,-2.502
-0.305,-0.644,0.731,4.028,-5.676,-3.418
-0.306,-0.646,0.736,5.676,-3.479,-4.028
-0.304,-0.649,0.736,8.301,-2.075,-4.089
-0.302,-0.656,0.733,10.498,-1.221,-3.845
-0.304,-0.667,0.727,10.681,-0.427,-3.845
-0.302,-0.677,0.721,10.071,0.122,-3.662

0.114,1.068,1.575,71.594,412.781,-26.062
0.330,0.959,1.445,135.925,446.960,-101.440
0.550,0.711,1.156,189.636,465.759,-152.100
0.765,0.528,0.809,234.314,468.018,-191.833
0.944,0.436,0.476,276.855,444.214,-242.554
1.063,0.234,0.166,318.054,387.512,-305.664
1.057,-0.153,-0.181,324.097,312.683,-359.863
0.920,-0.595,-0.631,254.700,235.046,-396.973
0.760,-0.963,-1.093,143.494,152.710,-422.546
0.688,-1.218,-1.420,44.678,54.504,-434.875
0.723,-1.434,-1.535,-6.042,-63.599,-431.091
0.766,-1.689,-1.449,-6.531,-198.608,-406.189
0.827,-1.990,-1.218,8.423,-336.182,-355.042
0.972,-2.264,-0.861,31.738,-467.407,-280.212
1.179,-2.380,-0.408,75.317,-592.712,-186.157
1.444,-2.284,0.161,127.930,-693.604,-83.740
1.635,-2.090,0.820,177.002,-756.165,3.906
1.576,-1.914,1.478,208.557,-768.005,69.702
1.322,-1.829,2.009,193.176,-722.839,111.572
0.877,-1.838,2.349,156.433,-636.902,139.709
0.383,-1.787,2.595,119.202,-525.513,166.565
-0.013,-1.667,2.781,88.379,-399.780,185.730
-0.288,-1.523,2.855,77.515,-266.785,207.520
-0.364,-1.419,2.735,77.209,-140.564,239.563
-0.271,-1.343,2.451,97.900,-37.231,279.297
-0.031,-1.185,2.085,100.586,40.894,311.523
0.232,-1.033,1.745,62.561,92.712,317.200
0.396,-0.918,1.554,5.432,125.366,305.054
0.426,-0.764,1.519,-39.124,147.583,283.081
0.311,-0.551,1.617,-61.646,166.748,256.287
0.126,-0.345,1.796,-75.562,194.336,234.314
-0.016,-0.185,1.917,-74.524,233.032,217.529
-0.024,-0.016,1.885,-56.641,273.193,198.486
0.125,0.199,1.730,-32.104,299.988,160.095
0.271,0.377,1.485,-11.108,305.542,93.140
0.287,0.394,1.188,3.662,297.241,19.104
0.238,0.255,0.907,21.057,287.170,-33.875
0.183,0.058,0.692,44.006,275.574,-60.669
0.162,-0.101,0.541,65.735,257.751,-70.679
0.174,-0.168,0.413,87.402,226.990,-78.247
0.170,-0.190,0.294,111.938,185.059,-90.881
0.130,-0.244,0.197,134.583,140.808,-104.492
0.083,-0.352,0.129,143.127,100.220,-113.831
0.026,-0.495,0.097,137.817,63.965,-116.638
-0.055,-0.630,0.115,122.742,30.945,-113.586
-0.141,-0.727,0.175,96.558,3.967,-105.225
-0.209,-0.776,0.247,63.782,-14.771,-93.323
-0.252,-0.773,0.324,34.668,-27.039,-81.604
-0.268,-0.747,0.401,13.367,-34.241,-73.486
-0.269,-0.734,0.463,-0.916,-38.696,-68.787
-0.265,-0.741,0.506,-9.949,-41.504,-64.392
-0.272,-0.766,0.549,-11.108,-42.969,-57.495
-0.308,-0.795,0.599,-5.249,-42.664,-46.936
-0.354,-0.819,0.639,1.526,-39.124,-32.776
-0.367,-0.827,0.658,8.911,-33.020,-17.151
-0.354,-0.809,0.667,18.188,-27.344,-3.601
-0.335,-0.765,0.661,25.635,-23.132,5.249
-0.320,-0.721,0.639,29.907,-20.508,9.583
-0.310,-0.694,0.614,30.701,-19.104,11.719
-0.290,-0.669,0.601,27.039,-19.165,13.184
-0.271,-0.637,0.609,24.658,-20.630,11.414
-0.272,-0.610,0.628,22.339,-22.034,5.859
-0.294,-0.611,0.639,15.747,-21.667,1.038
-0.316,-0.631,0.638,8.301,-20.935,-0.305
-0.318,-0.648,0.639,0.916,-20.874,2.014
-0.296,-0.632,0.651,-2.502,-21.912,4.211
-0.279,-0.592,0.669,1.282,-23.865,2.319
-0.284,-0.578,0.686,6.897,-25.635,-0.854
-0.300,-0.597,0.704,9.460,-25.635,-2.563
-0.314,-0.630,0.721,9.827,-23.560,-2.075
-0.325,-0.656,0.735,9.583,-20.569,-0.610
-0.336,-0.673,0.747,7.263,-17.334,1.648
-0.339,-0.685,0.762,4.211,-12.329,4.395
-0.323,-0.675,0.772,0.488,-7.019,6.104
-0.293,-0.652,0.776,-1.099,-4.211,4.822
-0.272,-0.637,0.777,0.000,-3.906,0.610
-0.276,-0.647,0.768,0.732,-3.967,-2.991
-0.297,-0.672,0.750,0.427,-3.052,-3.174
-0.314,-0.695,0.740,0.732,-2.136,-0.732
-0.321,-0.708,0.745,0.977,-0.977,3.052
-0.317,-0.709,0.755,0.427,0.671,7.019
-0.308,-0.694,0.764,0.244,2.441,10.193
-0.299,-0.656,0.773,0.793,4.456,11.414
-0.285,-0.607,0.783,1.953,5.981,9.766
-0.281,-0.579,0.784,2.441,6.042,6.042
-0.291,-0.583,0.774,3.052,5.493,2.319
-0.297,-0.599,0.760,3.296,5.493,0.732
-0.293,-0.613,0.746,3.906,5.920,1.099
-0.285,-0.618,0.732,4.456,5.310,1.709
-0.281,-0.619,0.720,4.761,3.601,1.526
-0.282,-0.623,0.713,4.211,1.953,1.648
-0.286,-0.626,0.708,3.540,0.244,2.869
-0.293,-0.619,0.708,2.319,-2.014,4.822
-0.281,-0.593,0.722,3.296,-4.395,5.676
-0.269,-0.561,0.750,8.057,-6.531,3.662
-0.282,-0.554,0.772,12.024,-7.812,0.549
-0.303,-0.572,0.780,14.771,-7.202,-0.305
-0.315,-0.593,0.781,16.541,-5.676,1.282
-0.304,-0.592,0.777,17.151,-4.700,3.235
-0.292,-0.573,0.777,18.311,-4.395,2.197
-0.296,-0.561,0.779,17.639,-3.601,-1.282
-0.308,-0.568,0.773,13.916,-2.014,-3.967
-0.311,-0.586,0.766,9.216,-0.305,-5.005
-0.308,-0.603,0.763,5.493,0.610,-4.395
-0.305,-0.613,0.760,3.418,0.671,-3.235
-0.301,-0.619,0.751,1.526,0.549,-1.892
-0.296,-0.623,0.741,0.549,-0.488,-0.244
-0.284,-0.612,0.742,1.099,-2.747,1.160
-0.277,-0.601,0.753,2.197,-5.066,0.977
-0.284,-0.604,0.763,2.441,-6.042,0.000
-0.293,-0.618,0.767,1.770,-5.066,-0.183
-0.296,-0.634,0.766,-0.061,-2.930,0.916
-0.296,-0.644,0.759,-2.319,-0.671,2.441
-0.297,-0.647,0.750,-4.456,0.916,4.150
-0.288,-0.637,0.744,-5.554,1.770,6.165
-0.269,-0.606,0.742,-3.906,1.282,6.714
-0.258,-0.579,0.745,0.488,-0.854,4.333
-0.264,-0.579,0.747,4.822,-2.747,1.526
-0.278,-0.599,0.746,6.104,-3.357,0.671

-0.423,-0.696,1.515,-17.517,5.188,267.822
-0.320,-0.545,1.571,-39.856,74.158,293.152
-0.180,-0.340,1.551,-51.880,136.780,292.419
-0.056,-0.053,1.457,-68.542,180.664,267.212
-0.036,0.216,1.384,-92.834,208.984,217.896
-0.079,0.425,1.418,-98.511,235.779,157.288
-0.184,0.569,1.545,-78.979,272.095,96.802
-0.294,0.626,1.662,-39.734,324.158,53.650
-0.238,0.680,1.699,13.428,384.460,28.381
-0.001,0.783,1.636,76.965,439.209,2.075
0.336,0.873,1.428,137.573,468.262,-47.852
0.600,0.825,1.085,193.909,467.407,-119.568
0.738,0.657,0.689,239.136,446.594,-185.181
0.801,0.415,0.342,271.973,415.894,-236.023
0.828,0.162,0.076,283.508,371.399,-278.931
0.813,-0.039,-0.157,276.306,309.448,-318.420
0.761,-0.235,-0.414,257.019,236.145,-355.408
0.708,-0.489,-0.696,218.323,154.846,-387.756
0.662,-0.781,-0.978,159.729,66.528,-412.415
0.663,-1.075,-1.162,92.346,-26.367,-424.927
0.715,-1.372,-1.163,42.236,-123.596,-422.607
0.757,-1.658,-1.025,17.944,-225.037,-400.513
0.799,-1.931,-0.804,11.292,-325.806,-355.286
0.874,-2.169,-0.484,17.517,-417.664,-288.086
0.964,-2.318,-0.102,40.527,-499.512,-204.529
1.052,-2.337,0.288,85.205,-566.772,-113.464
1.122,-2.256,0.690,138.306,-611.328,-25.452
1.149,-2.131,1.037,187.378,-632.385,44.617
0.996,-2.010,1.314,223.633,-623.352,101.135
0.736,-1.874,1.573,219.666,-576.782,149.170
0.508,-1.773,1.780,183.716,-506.836,179.565
0.264,-1.692,1.957,138.611,-425.537,200.195
0.073,-1.606,2.091,81.543,-333.923,217.407
-0.047,-1.569,2.106,35.889,-239.441,240.723
-0.073,-1.485,2.010,15.991,-156.494,278.442
0.038,-1.327,1.856,5.371,-90.332,317.932
0.189,-1.171,1.715,-11.230,-37.537,343.201
0.296,-1.007,1.626,-35.339,7.568,352.722
0.327,-0.788,1.640,-50.232,41.992,340.271
0.263,-0.512,1.780,-54.626,71.167,303.223
0.115,-0.259,1.922,-65.063,109.131,256.470
-0.026,-0.095,1.980,-57.983,156.677,212.830
-0.075,0.020,1.947,-33.691,205.750,173.218
-0.033,0.085,1.807,-9.460,246.338,129.272
0.064,0.105,1.580,9.705,273.132,80.811
0.175,0.099,1.308,25.269,283.630,31.738
0.229,0.026,1.023,38.635,278.625,-10.559
0.214,-0.094,0.771,54.382,263.611,-37.720
0.184,-0.209,0.588,73.486,241.760,-51.636
0.140,-0.305,0.464,92.041,214.600,-58.960
0.088,-0.393,0.383,106.628,184.692,-63.293
0.045,-0.476,0.322,114.258,154.724,-64.941
0.002,-0.521,0.278,114.685,125.061,-64.636
-0.049,-0.534,0.256,108.032,95.520,-65.735
-0.095,-0.553,0.256,94.971,69.092,-67.932
-0.132,-0.582,0.269,77.576,47.363,-69.702
-0.169,-0.618,0.292,56.641,30.273,-70.068
-0.198,-0.653,0.325,36.133,16.418,-68.604
-0.224,-0.677,0.380,22.827,4.028,-66.528
-0.259,-0.693,0.454,15.808,-5.005,-64.087
-0.297,-0.722,0.515,8.606,-9.277,-60.059
-0.328,-0.758,0.551,2.136,-8.911,-53.528
-0.348,-0.778,0.571,-1.465,-6.226,-44.434
-0.355,-0.783,0.577,-2.258,-3.540,-33.569
-0.344,-0.774,0.573,-0.244,-2.808,-22.583
-0.318,-0.742,0.569,5.676,-4.517,-13.367
-0.301,-0.694,0.569,15.869,-8.484,-8.362
-0.300,-0.662,0.568,25.452,-12.573,-6.897
-0.307,-0.652,0.579,29.907,-14.954,-6.470
-0.325,-0.650,0.607,29.419,-14.221,-6.104
-0.339,-0.660,0.629,24.292,-10.315,-5.798
-0.344,-0.677,0.634,17.578,-6.104,-5.432
-0.347,-0.695,0.625,9.583,-3.113,-4.333
-0.347,-0.707,0.607,0.549,-1.404,-2.075
-0.325,-0.687,0.593,-5.859,-2.319,0.549
-0.286,-0.630,0.594,-2.747,-8.240,0.671
-0.269,-0.588,0.605,8.606,-17.090,-2.808
-0.282,-0.594,0.623,18.494,-23.987,-6.714
-0.310,-0.629,0.644,20.569,-26.123,-8.850
-0.338,-0.663,0.662,15.564,-23.376,-8.972
