aX,aY,aZ,gX,gY,gZ
0.419,-0.810,1.716,-78.857,-147.766,414.612
0.665,-0.633,1.755,-113.708,-104.858,466.370
0.864,-0.216,1.910,-138.123,-74.036,476.440
0.959,0.284,2.211,-191.162,-39.307,431.519
0.835,0.730,2.573,-239.319,19.165,353.943
0.534,1.086,2.937,-249.084,101.196,266.724
0.202,1.332,3.179,-212.341,201.416,190.796
0.044,1.434,3.154,-148.010,314.514,132.629
0.125,1.310,2.908,-54.626,425.720,95.947
0.397,1.006,2.555,53.894,510.559,75.928
0.745,0.662,2.173,146.057,559.631,61.768
1.014,0.405,1.828,210.571,582.153,46.326
1.187,0.313,1.545,241.333,586.792,22.766
1.300,0.373,1.220,231.262,574.829,-11.292
1.316,0.546,0.779,207.031,547.546,-58.594
1.223,0.776,0.351,196.594,510.132,-113.953
1.076,0.894,0.076,219.666,460.327,-169.373
0.920,0.805,-0.095,256.042,397.522,-213.379
0.751,0.573,-0.244,275.085,325.195,-242.065
0.589,0.320,-0.435,259.399,245.850,-263.000
0.443,0.100,-0.707,217.957,158.936,-284.546
0.325,-0.089,-0.970,166.565,68.542,-304.932
0.295,-0.268,-1.118,122.314,-24.963,-318.298
0.322,-0.453,-1.149,89.844,-126.709,-320.679
0.377,-0.646,-1.089,61.829,-234.619,-310.791
0.485,-0.832,-0.925,34.790,-340.454,-288.757
0.650,-0.969,-0.604,23.499,-439.209,-255.188
0.846,-1.056,-0.159,32.593,-527.588,-211.731
1.005,-1.086,0.303,41.687,-599.487,-165.161
1.099,-1.073,0.781,44.983,-642.822,-126.160
1.115,-1.074,1.234,37.292,-651.001,-95.032
1.006,-1.128,1.602,24.902,-634.094,-67.688
0.709,-1.249,1.926,10.376,-599.731,-37.842
0.305,-1.366,2.225,-1.099,-536.682,5.005
-0.094,-1.417,2.517,10.559,-441.589,59.082
-0.389,-1.334,2.749,36.499,-328.918,111.206
-0.456,-1.183,2.768,48.340,-203.857,153.687
-0.363,-1.104,2.543,50.598,-91.492,182.007
